n,N,time-mean,time-error,dt_time-mean,dt_time-error,compute_time-mean,compute_time-error,nruns
20,10000,1.4597103333333334,0.005692147851792541,0.47007899999999997,0.003289322042609988,0.9873326666666666,0.002709555068026201,3
40,10000,1.4979153333333333,0.007317615879961687,0.5133343333333333,0.003495044658751386,0.9821936666666667,0.003968215614941673,3
60,10000,1.5996306666666669,0.0037380148028956467,0.6138666666666667,0.0012166053865845933,0.9834860000000001,0.0034906402707812765,3
80,10000,1.7731596666666667,0.0022679047966496315,0.735761,0.0012284887056867805,1.0350003333333333,0.0017212196741458548,3
100,10000,2.0389049999999997,0.003070667435591109,0.8868839999999999,0.0018337792942445298,1.1496146666666667,0.0017748380677308155,3
120,10000,2.3672543333333333,0.0063728310166413695,1.0676156666666665,0.0011571612535280597,1.2971893333333335,0.005775538171172153,3
140,10000,2.842169666666667,0.0026851093397971828,1.2864950000000002,0.001457191133654083,1.5531456666666665,0.0014285325220892264,3
160,10000,3.292476,0.004834068214247617,1.5517256666666668,0.0008739497506531319,1.7381823333333333,0.005526431775265672,3
180,10000,3.8294580000000003,0.004434660810028193,1.8290256666666667,0.003039832588592155,1.9980603333333333,0.0022038522334010954,3
200,10000,4.302727333333333,0.0020981928335274984,2.1104203333333333,0.002632811266814829,2.1898693333333337,0.004651618338456617,3
220,10000,5.047115333333333,0.004549925292427058,2.464028666666667,0.000943321348569287,2.5805853333333335,0.005396509072230544,3
240,10000,5.6668829999999994,0.003427227086144353,2.794608,0.003457528814051958,2.8697226666666666,0.00020690255355282615,3
260,10000,7.258810666666666,0.00959749535903341,3.8419403333333335,0.0010579835379940924,3.4142419999999998,0.008587991237769037,3
280,10000,8.120902666666666,0.00326333275451091,4.3148496666666665,0.00256473247467774,3.803468666666667,0.005230965605571076,3
300,10000,9.652621333333334,0.010598310769488844,5.031804,0.004959966935373736,4.618236666666667,0.006116893710590807,3
