n,N,time-mean,time-error,dt_time-mean,dt_time-error,compute_time-mean,compute_time-error,nruns
20,10000,0.975411,0.0003903229432149721,0.4002965,0.0009369164850721901,0.5736209999999999,0.0005685138520739247,2
30,10000,0.9837505,0.0010146982310026704,0.4037855,0.00015344217151745765,0.578426,0.0008329717882376832,2
40,10000,0.988094,0.008287291475506303,0.4027355,0.003220871388304746,0.5837445,0.004912270808902971,2
50,10000,1.0872875,0.0025081077528686605,0.45695600000000003,0.0014736105319927864,0.628806,0.0010465180361561165,2
60,10000,1.157604,0.0019134309498908663,0.4802165,0.001406435387780056,0.6758565,0.0005550788232314651,2
70,10000,1.3075459999999999,0.007459976541518119,0.5331605,0.005189456667128061,0.772893,0.0022683985540464364,2
80,10000,1.559068,0.005188749560346932,0.6217785,0.0035334125855891203,0.9357329999999999,0.001624931383166702,2
90,10000,1.842892,0.0009121677477306557,0.7589425000000001,0.0011730901499884584,1.0823805,0.0021319269452774337,2
100,10000,2.1478260000000002,0.008841663191956797,0.8900475,0.0016015968593875028,1.2562035,0.007231581051194811,2
110,10000,2.3768295000000004,0.007047733288086362,0.991541,0.004795598190007212,1.3837495,0.0023072894270117156,2
120,10000,2.7495555,0.00843649100633648,1.1810795,0.002454367637498508,1.5668575,0.005971516767120419,2
130,10000,3.2454755000000004,0.0030440946930080895,1.501628,0.004398204178980249,1.7423305,0.007436642017738998,2
140,10000,3.610717,0.004307694510988595,1.6357115,0.0038261547930004474,1.973463,0.0004992173875177701,2
150,10000,4.294243,0.0074444201923318815,2.0113434999999997,0.0030893495270040735,2.2813305,0.004278703132959662,2
160,10000,4.6773815,0.016563976349294584,2.1476170000000003,0.01076782206390876,2.528187,0.00585625836178723,2
170,10000,5.6200865,0.026829752598561372,2.7208935,0.012181328519500727,2.897608,0.014615897167125913,2
180,10000,6.5766295,0.0023030467863243177,3.230777,0.005710594364862852,3.344275,0.003464823227814172,2
190,10000,7.260068,0.012043442697168918,3.5189475,0.014369116900491856,3.739548,0.02634114181276131,2
200,10000,8.2510075,0.01028769655948224,4.010339500000001,0.00285600428921224,4.23911,0.013155014557194419,2
210,10000,9.780556,0.014191633098413089,4.9832915,0.0027810509704066662,4.7956465,0.016967027214571356,2
220,10000,10.7292305,0.017142389696304383,5.3305489999999995,0.016291740238538646,5.397098,0.033448979177248137,2
230,10000,12.2673995,0.017942834572608906,6.188829500000001,0.008392650385903068,6.076897,0.00946108873227581,2
240,10000,13.122049,0.031890515831513075,6.601266,0.012319214341831908,6.5192045,0.019618677644020383,2
250,10000,15.9810345,0.001594525791575591,8.217162,0.0009107535341674569,7.7622990000000005,0.0007113494218732399,2
260,10000,17.69855,0.05635499624700581,8.999902500000001,0.030150326043012796,8.6970415,0.026190528068368565,2
270,10000,19.263323,0.00540512423538933,9.8293535,0.00894560788879099,9.432361499999999,0.0035136135957165838,2
280,10000,21.167023999999998,0.07220125921339432,10.7172955,0.047898706250795224,10.4481245,0.02434073672878475,2
290,10000,24.0414646,0.09784495937170223,12.494809,0.10317811301458253,11.545028599999998,0.01114596044313798,5
300,10000,25.596593499999997,0.05601770631237979,12.93584,0.008949143422696789,12.659087499999998,0.04704734968624694,2
310,10000,29.192224,0.06944495698033203,14.862467500000001,0.0183600275735095,14.32812,0.08772932412825342,2
320,10000,31.6934085,0.15095058730186414,15.39369675,0.003157724932605353,16.29805025,0.1480532333913679,4
330,10000,34.78275549999999,0.05364889859540409,17.782420000000002,0.020779039871947038,16.998533000000002,0.032632977951759734,2
340,10000,37.718782000000004,0.13485799109433375,19.0617135,0.022871368837478458,18.655383,0.11195055981101537,2
350,10000,40.9301195,0.02139068723767411,20.486761,0.013739084758454503,20.441640999999997,0.007662209080938262,2
360,10000,44.6850065,0.03854085510857703,21.9291465,0.035982542774239464,22.754142,0.07451774102856118,2
370,10000,50.49607566666666,0.17486836233197445,25.518386000000003,0.0022601817404797157,24.975991000000004,0.17313761174279785,3
380,10000,52.856537,0.19432046120648197,26.144644333333332,0.008878255919192444,26.710199666666668,0.18548255160167085,3
390,10000,60.037992,0.13351590242364375,29.7899715,0.0028376195129019605,30.2463805,0.13065706970730698,2
400,10000,80.28315950000001,0.1835232010959368,29.963643500000003,0.020772675910917353,50.317809,0.1628169932224515,2
