n,N,time-mean,time-error,dt_time-mean,dt_time-error,compute_time-mean,compute_time-error,nruns
20,10000,1.1765910000000002,0.0015287648609253138,0.8496545,0.000620132647100614,0.325364,0.0008527707781109656,2
30,10000,1.1782435,0.0010514677836244075,0.8508804999999999,0.00012657211383242044,0.325838,0.0009503515139147283,2
40,10000,1.1946945,0.0012438008281070267,0.8649074999999999,0.002397799095003606,0.328245,0.0011356134905855927,2
50,10000,1.229341,0.007689079138622396,0.8619465,0.004328200607642809,0.365796,0.0033502719292618764,2
60,10000,1.2776015,0.0013640089809088993,0.873675,0.0001909188309203625,0.402414,0.001559877559297553,2
70,10000,1.396631,0.0004157787873377132,0.912471,0.0015825049762954665,0.4825075,0.0011900607127369525,2
80,10000,1.598728,0.0011667261889577534,0.978873,0.0017649385258416608,0.6182909999999999,0.0006321534623808169,2
90,10000,1.822411,0.0029726769081083143,1.0377275,0.0024798234816213274,0.7831035,0.0004914392129246513,2
100,10000,2.073156,0.00588595684659682,1.1219275,0.00296348451995286,0.949587,0.0029090372978015,2
110,10000,2.259478,0.0011737972567698223,1.1947125,0.0007530687219635823,1.0631375,0.0003797163414971829,2
120,10000,2.530063,0.0018851466786433762,1.3016325000000002,0.0009086322138246998,1.226813,0.0009263098833543224,2
130,10000,2.7677164999999997,0.0022082944776455784,1.4080095,0.003792213667503459,1.3580635,0.001629881130634993,2
140,10000,3.069227,0.00413374624281657,1.5527060000000001,0.0035624039636178956,1.5149314999999999,0.0006003336572272923,2
150,10000,3.509285,0.013276636923558863,1.7283075,0.0020202040738498865,1.7793465,0.01118147953090293,2
160,10000,3.869581,0.000417193000900284,1.916619,0.001709784196909094,1.951306,0.001275620633260473,2
170,10000,4.3492085,0.02161554719409209,2.0952625,0.0006837722574075061,2.252242,0.020879449034876374,2
180,10000,4.930321,0.004068692418947107,2.3308845,0.003874238054120945,2.5977155,0.0001534421715175754,2
190,10000,5.5275385,0.007419671454990033,2.5839135,0.003063893682881254,2.941947,0.010405783391941198,2
200,10000,6.2967165000000005,0.006173749306539778,2.923001,0.0005543717164501797,3.3720495,0.00677620428411077,2
210,10000,7.1830359999999995,0.017614029919356417,3.2734045,0.002499622471494335,3.907988,0.015095315564770204,2
220,10000,8.208332,0.00216091832330668,3.7341800000000003,0.0028284271247461927,4.472502,0.005052985058358823,2
230,10000,9.195524,0.009203701863924357,4.1767994999999996,0.008872068783547985,5.017066,0.018133046296747668,2
240,10000,10.446380999999999,0.021843942684414613,4.8457625,0.0015846262966388517,5.5989565,0.02026073060133833,2
250,10000,11.870821,0.002480530588402456,5.335383,0.002613466663265267,6.5337675,0.005066420087201361,2
260,10000,13.208737,0.010086171126844167,5.9035115000000005,0.002805092600967229,7.303521999999999,0.007256329788536346,2
270,10000,15.045390000000001,0.04204174078222671,6.74583,0.0049737890988661645,8.2978465,0.0370700730037044,2
280,10000,16.829617,0.008085058936087887,7.5201755,0.006996821599841036,9.3077255,0.015118650088549483,2
290,10000,18.565162,0.017758279702717913,8.299360499999999,0.01408061733376824,10.2639245,0.031927992490915554,2
300,10000,20.6263975,0.01667994186141031,9.380769,0.023727675149495104,11.243914499999999,0.007044904860962162,2
310,10000,23.2357765,0.05688886186680028,10.515189,0.017561704017549466,12.718864,0.039269882199976125,2
320,10000,26.265472,0.10912071847270692,11.766782,0.01657741137813712,14.4969125,0.09253270049285241,2
330,10000,28.286023999999998,0.09183620031338365,12.84367,0.0019205020177023072,15.440558,0.0899057988007446,2
340,10000,31.0108465,0.05775011792628656,14.085299500000001,0.026363062122978335,16.923745,0.08415419224257191,2
350,10000,34.6213015,0.0349275394567124,15.588791,0.01324835265231153,19.0307465,0.04818437739039433,2
360,10000,38.2310135,0.014671758602841178,17.3585985,0.0025378062376771515,20.8705985,0.012143144753316341,2
370,10000,41.6031545,0.18178654684134107,18.8874145,0.0005084097756732239,22.713918999999997,0.1813389482488521,2
380,10000,44.95078650000001,0.04406901592388866,20.410594,0.010624986494108266,24.538397,0.03351827564180343,2
390,10000,49.208289,0.02472893835165327,22.027589499999998,0.02161271876696632,27.1788785,0.003144503855935855,2
400,10000,55.486791333333336,0.2010087190463809,23.776563333333332,0.0027691899838523564,31.708402333333336,0.19832053789803625,3
