n,N,nruns,time-mean,time-error,compute_time-mean,compute_time-error,dt_time-mean,dt_time-error
20,10000,3,1.1560819999999998,0.005345941404467476,0.6836966666666667,0.0022464757213614983,0.470211,0.0031562282078455577
30,10000,2,1.154739,0.0003167838379715761,0.683253,0.002445175249343054,0.46933800000000003,0.002767615941564167
40,10000,2,1.1967125,0.0012353155467328583,0.687566,0.002884995667241173,0.5069205,0.0016525085476329852
50,10000,2,1.2497725000000002,0.005855551255005788,0.6944345000000001,0.00316571705937214,0.5531735,0.002683470234602943
60,10000,2,1.310703,0.006041520338457938,0.697222,0.005110967814416374,0.611356,0.0009333809511662341
70,10000,2,1.410083,0.009405934403343402,0.7356575000000001,0.004936312439463299,0.6722935,0.004495077808002844
80,10000,2,1.4909395,0.005593921745966779,0.748934,0.0033714851326974546,0.7398975,0.002252135098079149
90,10000,2,1.6519575,0.0026735707396663604,0.839199,0.00023758787847868206,0.8105945,0.0024982082579320785
100,10000,2,1.763814,0.0014622968234937511,0.869543,0.0006830651506261423,0.8920825,0.0007855956338983138
110,10000,2,1.9122569999999999,0.012249917877275831,0.930383,0.007906868027227993,0.979749,0.00442083159597832
120,10000,3,2.07029,0.010615168839919567,0.996282,0.006968850012735286,1.0718773333333333,0.00472396350183469
130,10000,2,2.3265285,0.0021672822843366787,1.1650975,0.001342795777473321,1.1593520000000002,0.0035171491296219115
140,10000,2,2.529471,0.009728375095564634,1.2399985,0.0010938941904955644,1.2873795000000001,0.008672664671252984
150,10000,2,2.733328,0.0020817223638130797,1.325131,0.001732411613907086,1.406107,0.000411536146650629
160,10000,2,2.971082,0.0017903943699646373,1.42023,0.0036910973977937796,1.54875,0.0019049456685165409
170,10000,2,3.2748660000000003,0.013664131439648614,1.58987,0.010972883030452789,1.6828475,0.002765494621220586
180,10000,2,3.5104335,0.01772221725687864,1.6838440000000001,0.012305072206208242,1.824319,0.005236832821467588
190,10000,9,3.7022666666666666,0.016895431412810975,1.7662184444444444,0.0026113717067802193,1.9338966666666666,0.019178637167268954
200,10000,2,3.944601,0.014392451424271133,1.8450535000000001,0.0025901321394864608,2.0974195,0.016983997777319692
210,10000,2,4.3915535000000006,0.007353203417559255,2.0889735,0.004694481920297689,2.3004284999999998,0.012039907163263433
220,10000,2,4.67187,0.00735249631077797,2.2095235,0.002049902558659948,2.4601990000000002,0.005308957713148648
230,10000,2,5.016159,0.0024522463171548084,2.354795,0.0005953839097590797,2.6592205,0.0019254517651706767
240,10000,2,5.25302,0.0009899494936613715,2.46944,0.008052532024152528,2.7814449999999997,0.007061168316928899
250,10000,2,5.944932,0.01586181931557617,2.85075,0.010603773290673474,3.0920674999999997,0.005267238413058463
260,10000,2,6.847281000000001,0.0015754339084833977,3.0075139999999996,0.002015254326381674,3.8375735,0.0035829100602725026
270,10000,2,7.251745,0.0008895403307326637,3.2242725,0.002857418502774811,4.0253075,0.0037342309114462217
280,10000,2,7.7120935,0.011327143527827307,3.3978254999999997,0.006344869147586662,4.3120840000000005,0.004873379935937457
290,10000,2,8.615887,0.009215015572423668,3.904161,0.004464672216411969,4.7094965,0.004677511357549039
300,10000,2,9.1528185,0.0026778133803528168,4.1200980000000005,0.0010564175310927772,5.0305425,0.003662106019765161
310,10000,2,9.625448500000001,0.0030695505371296527,4.3296595,0.0016256384899483798,5.293605,0.004682461105017409
320,10000,2,9.9685065,0.00627840111015557,4.477949,0.0038565603845916365,5.488391999999999,0.0023843640661608324
330,10000,2,12.18877,0.008809136280021123,5.214366999999999,0.0033219876580146217,6.97221,0.00542775165238795
340,10000,2,12.911798000000001,0.0037702933572873803,5.517587000000001,0.004921463197058582,7.3920259999999995,0.0010733880938411143
350,10000,2,13.5398685,0.011676454277733303,5.898475,0.018295680856420696,7.639181,0.006605791549844857
360,10000,2,14.540963000000001,0.004798426617131883,6.323418,0.005629984191807309,8.215341500000001,0.0008506494577663636
370,10000,2,15.862115,0.014696507340181771,7.0415395,0.00444558033332009,8.818361,0.010241734618705598
380,10000,2,16.7057705,0.007053390142333818,7.40432,0.001926158871951962,9.299255500000001,0.008969649519350925
390,10000,2,18.909549,0.009142890680742607,7.8751774999999995,0.0012155165568600076,11.032175,0.007964850783285701
400,10000,2,19.579833999999998,0.0001612203461129707,8.2471085,0.005772112654825574,11.330550500000001,0.005632105512151165
