n,N,time-mean,time-error,dt_time-mean,dt_time-error,compute_time-mean,compute_time-error,nruns
20,10000,1.892038333333333,0.004312661610498439,1.3269843333333333,0.00046007463162698486,0.3999243333333333,0.0037548615376158255,3
40,10000,1.9000623333333333,0.001205148607710542,1.3359630000000002,0.004632978361702111,0.39685299999999996,0.00419249883720916,3
60,10000,1.975315666666667,0.02416596834738202,1.3810226666666667,0.015904624458523624,0.42883166666666667,0.008382562386685036,3
80,10000,2.0274043333333336,0.00405893658076435,1.3868226666666665,0.004901848698875375,0.4752456666666667,0.001011064373156658,3
100,10000,2.173446,0.003799125096650547,1.4427443333333334,0.0035855705496708277,0.56417,0.0026942996307018413,3
120,10000,2.3364436666666664,0.01050784174636574,1.494791,0.007761904276657888,0.6708853333333332,0.003510688346559238,3
140,10000,2.5825573333333334,0.0014606036993881416,1.5687073333333332,0.004277013697273673,0.8433533333333333,0.003006048097863144,3
160,10000,2.8973783333333336,0.026925667497142383,1.6722176666666666,0.019048295479298562,1.055887,0.00969726260343612,3
180,10000,3.1532603333333333,0.007337241522988518,1.7918613333333333,0.005612958281215582,1.1909463333333332,0.0034714789595598787,3
200,10000,3.4812526666666668,0.005223154522572196,1.9433743333333335,0.006729921854425019,1.3684296666666667,0.0015461294145920595,3
220,10000,3.8874763333333333,0.004144779266338105,2.1278243333333333,0.006360302246487019,1.588432,0.006850691242495188,3
240,10000,4.380473,0.017534025479050912,2.340466,0.006382096559908865,1.8708186666666666,0.011491142356905406,3
260,10000,4.983819333333333,0.0047758519833290825,2.589797666666666,0.0027292669650781725,2.224334666666666,0.004145519589468426,3
280,10000,5.701622666666666,0.01968404928277364,2.9001856666666668,0.013051855832281786,2.6283860000000003,0.0027922005658620516,3
300,10000,6.418523666666666,0.011694200920399318,3.2070063333333336,0.0030008292465027032,3.042714333333333,0.013689755683235084,3
