nruns,size,iterations,NPs,time-mean,time-error,compute_time-mean,compute_time-error,update_time-mean,update_time-error
2,10,1000,1,0.116264,0.0001131370849898528,0.083927,0.00021496046148070954,0.032107,0.00010606601717798517
2,12,1000,1,0.1158275,9.970205614730478e-05,0.08369299999999999,4.525483399593524e-05,0.031908000000000006,0.00014283556979968314
2,14,1000,1,0.1181245,0.002694783943101929,0.085366,0.0018101933598375663,0.0325205,0.0008704484476406371
2,16,1000,1,0.116284,0.000210717820793586,0.084004,0.00019091883092037232,0.03205,1.8384776310848998e-05
2,19,1000,1,0.11612049999999999,0.00026657925650733005,0.0837715,0.0004391133111168534,0.032117999999999994,0.00017111984104714392
2,22,1000,1,0.11587049999999999,0.00010677312395916752,0.083705,1.1313708498986262e-05,0.031937,0.00011879393923934103
2,26,1000,1,0.1174595,0.0014658323573997168,0.084688,0.0013986572131869962,0.032533,5.9396969619670516e-05
2,31,1000,1,0.1196555,0.002779636756844321,0.0860275,0.0021474832944635433,0.033392,0.0006194255403194169
2,37,1000,1,0.117893,0.0006363961030678914,0.0852135,0.0004589123009900671,0.032449000000000006,0.00017253405460951842
2,44,1000,1,0.123627,0.00019374725804511154,0.08605650000000001,0.00018172644276493802,0.037335499999999994,4.949747468305876e-06
2,52,1000,1,0.133007,0.002415476764533248,0.089838,0.0018017080784633193,0.042926,0.0006052834046956816
2,62,1000,1,0.1385605,0.005213498297688428,0.088665,0.0019982837636331897,0.0496665,0.0032123861069304842
2,74,1000,1,0.153945,0.00016263455967291157,0.0945195,0.00026375082938258105,0.0591945,9.545941546018616e-05
2,88,1000,1,0.1800785,0.00042638538905550243,0.102322,0.00020788939366884682,0.077518,0.00020223253941934876
2,100,1000,1,0.2064025,0.0006540737725975433,0.1111705,0.0005338656197958376,0.0949985,0.00011525840533340475
2,120,1000,1,0.256336,0.0021750604589297973,0.1322585,0.0016539227611953205,0.123828,0.0005133595231414268
2,140,1000,1,0.307223,0.0010366185412194948,0.1548315,0.0009694433970067449,0.152156,5.9396969619670516e-05
2,160,1000,1,0.387992,0.0010238906191581242,0.1910155,3.3234018715761716e-05,0.196741,0.0010521748904055751
2,190,1000,1,0.5542514999999999,0.0007587255762131589,0.2575735,6.151828996323229e-05,0.29643949999999997,0.0008138799051456863
2,220,1000,1,0.819897,0.001175211470332079,0.37632,0.0020619233739399933,0.4433365,0.0008789337290148744
2,260,1000,1,1.3674175000000002,0.002641043827731786,0.589915,0.0022288005743000285,0.7772595,0.004871258615594071
2,310,1000,1,2.327173,0.0006901362184381325,1.051522,0.00030971277015966425,1.2753945,0.0003783021279349261
2,370,1000,1,4.1675195,0.006709736246679364,1.8904885,0.003751201474194559,2.2767705,0.0029535850250164346
2,400,1000,1,5.5429865,0.015448161848582624,2.3713509999999998,0.0008145870119267754,3.1713785000000003,0.0162627488605094
2,10,1000,4,0.228598,0.013505739520663062,0.16913,0.01391020459950176,0.0428265,0.0003132483040656447
2,12,1000,4,0.2009805,0.0001958685783886733,0.1417425,0.0003528462838120868,0.042176000000000005,0.0002489015869776634
2,14,1000,4,0.227652,0.0011851109652686613,0.1681955,0.0007346839456528314,0.0425855,0.0003726452736853103
2,16,1000,4,0.218502,0.006117887870826004,0.157375,0.004613164640461038,0.04430050000000001,0.001477146065898698
2,19,1000,4,0.2195875,0.0011561195872400035,0.158133,0.0028001428534987416,0.044604500000000005,0.0016355379848844863
2,22,1000,4,0.20304699999999998,0.002370221930537303,0.14362350000000002,0.00249537983080731,0.042388999999999996,0.0001824335495461302
