n,N,time-mean,time-error,dt_time-mean,dt_time-error,compute_time-mean,compute_time-error,nruns
20,10000,0.9742991428571427,0.00762036302149479,0.39893771428571423,0.003817642689716941,0.5735822857142858,0.003843261250511411,7
30,10000,0.9813255000000001,0.0010486393564996584,0.40362549999999997,0.0026113453429219215,0.5759295,0.0016468516933834873,2
40,10000,0.9774686666666667,0.008550177668719348,0.3998413333333333,0.003309796091403006,0.5758836666666666,0.005323414380514329,3
50,10000,1.089274,0.0007919595949289403,0.4604105,0.0016963491680665559,0.6270549999999999,0.0008654987001723362,2
60,10000,1.152294,0.0017168552647208487,0.481124,0.00011313708498984299,0.6694450000000001,0.0017974654377761565,2
70,10000,1.2912963333333332,0.009496023983401328,0.5305989999999999,0.004953021203265751,0.7589655,0.0046049021596555086,6
80,10000,1.552752,0.011702300543055643,0.6180140000000001,0.0040934321649306535,0.93298475,0.007590309412153254,4
90,10000,1.8471090000000001,0.014412250414144142,0.75381,0.006491240251292482,1.091504,0.007850299484733012,2
100,10000,2.1826005,0.0003415325753131104,0.8941034999999999,7.141778489985385e-05,1.286695,0.00033092597359524265,2
110,10000,2.4121235,0.012905405863435533,0.99488,0.008761053018901253,1.4154939999999998,0.004181829503937224,2
120,10000,2.8014865,0.0028956022689588835,1.1831995,0.00018596908345199284,1.6163995,0.0027004407973514367,2
130,10000,3.311928,0.003667055767233531,1.4997764999999998,0.0016030110729499166,1.8103764999999998,0.0052403683553735435,2
140,10000,3.7009865,0.01938957504691626,1.6402614999999998,0.011020259184792314,2.058837,0.008393357492684352,2
150,10000,4.359954,0.02445740934767988,1.9991835,0.0117641355186006,2.3589975,0.012635291073022513,2
160,10000,4.782586,0.011267039451426215,2.1394475,0.004026973118857235,2.6413855,0.007271179030941141,2
170,10000,5.7318215,0.03004426002583506,2.7270665000000003,0.011383712070322289,3.0029494999999997,0.018569331180740146,2
180,10000,6.692902,0.04683592475867213,3.2298065,0.015008341430684663,3.4612249999999998,0.03186930262807797,2
190,10000,7.4103943333333335,0.019981281769863343,3.5260296666666666,0.004759506294424488,3.8825826666666665,0.024683179306294142,3
200,10000,8.4027915,0.025119968401651965,4.011907000000001,0.0006972072862500443,4.3890519999999995,0.02578535588274856,2
210,10000,9.940157,0.03619538191537685,4.9809695,0.010877423614992608,4.9573605,0.025282602961324993,2
220,10000,10.926950999999999,0.01480257335735825,5.341762,0.024880259202829505,5.5834285,0.010122233572685326,2
230,10000,12.4592595,0.026443672296032308,6.192138999999999,0.012405481369136792,6.265317,0.013965358928433796,2
240,10000,13.514948,0.014560742838193818,6.6061005,0.006825701758793838,6.907181,0.007882826396667273,2
250,10000,16.2595565,0.017587866968452628,8.2059195,0.004721351977982452,8.051799500000001,0.01285590838875278,2
260,10000,17.9958485,0.0811779798005581,9.004687,0.043434741141164225,8.989336999999999,0.03767606351518245,2
270,10000,19.60684,0.05539757366527729,9.819459,0.015088244496958607,9.7855975,0.04032842105141276,2
280,10000,21.533388000000002,0.06012246117716931,10.711851,0.042505602830685864,10.819575,0.01760695885154545,2
290,10000,24.265406,0.06674946593044895,12.3665395,0.015337853190717806,11.897013999999999,0.05133878074126818,2
300,10000,26.0054545,0.03724402127187674,12.9360675,0.004379112295888056,13.067566500000002,0.04164646809154408,2
310,10000,29.4837215,0.0625994562316622,14.855424,0.00113985613127252,14.626429,0.06377820323590101,2
320,10000,31.314118999999998,0.1624337413470488,15.3890475,0.014593976856908579,15.92316,0.14776551827811596,2
330,10000,35.1780035,0.06447470341536977,17.773205500000003,0.010414975780096026,17.402846,0.05401730122840165,2
340,10000,38.2183595,0.1274241775037224,19.1121025,0.09005358411801126,19.104376000000002,0.037359279677210554,2
350,10000,41.2594455,0.025716766524973927,20.482601000000003,0.010130011747278836,20.775043500000002,0.015387350665401502,2
360,10000,44.917369,0.04368929958239054,21.9471195,0.051835876808442094,22.968358000000002,0.09557679518586207,2
370,10000,50.345489,0.08849865630618639,25.510761000000002,0.00022627416997866542,24.832786,0.08818328668177457,2
380,10000,53.04102340000001,0.2037081547909288,26.3991354,0.24801768157068954,26.640016600000003,0.0785740615761653,5
390,10000,59.4797095,0.018758835798095425,29.7820555,0.006623469219375107,29.6956725,0.012061120366699797,2
400,10000,61.488573,0.1489223449721368,29.966537000000002,0.012068898541290797,31.520206,0.13683647586809516,2
