n, N, time-mean, time-error, dt_time-mean, dt_time-error, compute_time-mean, compute_time-error, nruns
10, 10000, 1.4635033333333334, 0.011286471422312044, 0.47123766666666667, 0.005031951178883473, 0.9896836666666667, 0.006279288985758384, 3
20, 10000, 1.4484333333333332, 0.005784262975234344, 0.46679866666666664, 0.0012328252782396595, 0.9790993333333334, 0.0048007958888778655, 3
30, 10000, 1.457149, 0.008446401926264209, 0.47389166666666666, 0.0038704493494511223, 0.9808520000000001, 0.004403297684690411, 3
40, 10000, 1.487633, 0.0016804112591862728, 0.5089980000000001, 0.001193993927957769, 0.9761283333333332, 0.0005312350390050379, 3
50, 10000, 1.5483076666666669, 0.0041076718669663635, 0.5576546666666666, 0.0005473035416171576, 0.9881033333333334, 0.004612640097240036, 3
