nruns,size,iterations,NPs,time-mean,time-error,compute_time-mean,compute_time-error,update_time-mean,update_time-error
2,10,1000,1,0.12702049999999998,0.0008647915933911489,0.068491,0.0008188296526140264,0.036031999999999995,0.00010465180361561066
2,12,1000,1,0.127937,4.2426406871196026e-05,0.0691415,0.000163341666454089,0.0362115,0.00010818733752154203
2,14,1000,1,0.1315805,0.00037830212793478875,0.0700305,0.00030476302269140257,0.038668,0.00026587214972614284
2,16,1000,1,0.1315225,7.071067811872547e-07,0.069674,0.0002644579361637781,0.0392135,0.00015061374439273315
2,19,1000,1,0.1349585,0.001477146065898703,0.069288,0.0006024549775709326,0.042093,0.0005218448045156738
2,22,1000,1,0.13779550000000002,0.0003061772362537673,0.0690765,2.192031021678527e-05,0.0454645,3.8890872965259754e-05
2,26,1000,1,0.1434165,0.00034011836175073585,0.069185,0.00042567828227430536,0.0505505,5.020458146424602e-05
2,31,1000,1,0.157971,0.0003959797974644701,0.069629,7.919595949289402e-05,0.06435350000000001,0.00028213560569343
2,37,1000,1,0.1769855,0.0005296229791087239,0.0696355,4.454772721475779e-05,0.083126,0.00032526911934581333
2,44,1000,1,0.204393,0.0005925554826343306,0.0691965,0.0002863782463805536,0.1097765,0.0008237794000823274
2,52,1000,1,0.2528075,0.001477146065898703,0.06982,0.0011992531008923769,0.155605,0.00017960512242138604
2,62,1000,1,0.3351805,0.00017606958851544978,0.0695575,0.0002524371208836046,0.23679299999999998,2.2627416997972524e-05
2,74,1000,1,0.489261,0.0002884995667240859,0.06999449999999999,0.00024395183950935755,0.383713,3.81837661840725e-05
2,88,1000,1,0.795214,0.0005119453095790229,0.0708145,0.0013074404384139288,0.676115,0.0018469629124593036
2,100,1000,1,1.0808935,0.0001972827919509889,0.0703185,9.545941546019107e-05,0.95001,8.34386001800568e-05
2,120,1000,1,1.8153825000000001,0.0021559685758378395,0.071452,0.0003761808075912466,1.6593035,0.0018024151852446047
2,140,1000,1,2.732646,0.0002404163056034311,0.071507,0.00025597265478953106,2.540908,4.384062043341353e-05
2,160,1000,1,4.1341585,0.0016765501781933912,0.083039,0.00011596551211459202,3.8802564999999998,0.001765645632623103
2,190,1000,1,6.5721345,0.00368190500963864,0.1000765,0.0003415325753131104,6.193213500000001,0.004826003781598244
2,220,1000,1,10.305978,0.0015188653659887316,0.12832,0.0009659078631008282,9.7550065,0.0007261986642789769
2,260,1000,1,17.0929365,0.004288602627896087,0.165414,0.0011313708498984691,16.2270675,0.004224963017589196
2,310,1000,1,28.207955,0.0025809397513286516,0.25792550000000003,4.737615433948718e-05,26.7202515,5.4447222149554126e-05
2,370,1000,1,47.920227499999996,0.0012607713908528518,0.3336905,0.00042072853480600443,45.4083075,0.001648265906944488
2,400,1000,1,63.197002,0.008819035774955351,0.3705035,0.0007954951288348569,59.9736595,0.007358860271803886
2,10,1000,4,0.1140825,0.0009142890680742077,0.054433,0.0002842569260369918,0.040131,0.0013774440097513983
2,12,1000,4,0.1142495,0.0021715249250238906,0.0548265,0.0005225519112968611,0.039967,0.0015570491321727795
2,14,1000,4,0.114499,0.00015273506473629,0.054834999999999995,3.67695526217029e-05,0.039914,0.00012869343417595277
2,16,1000,4,0.11375199999999999,0.0004497199128346524,0.054796,7.636753236814991e-05,0.0395805,0.0006979143930311237
2,19,1000,4,0.11494750000000001,0.0007728677118368942,0.055141499999999996,0.00039668690424565247,0.039977,0.0010055058428472703
2,22,1000,4,0.1162665,0.0004080006127446436,0.055134,0.00012162236636408514,0.041639499999999996,0.0006215468606629738
2,26,1000,4,0.1200565,0.001255114536606121,0.055324,2.4041630560342126e-05,0.0452015,0.001861812154864177
2,31,1000,4,0.1199565,0.0008195367593952136,0.055272,0.00016122034611053217,0.0444525,0.0005762920266670337
2,37,1000,4,0.1263865,0.00026516504294494576,0.0553385,0.0001407142494561214,0.0507885,0.00010111626970967929
2,44,1000,4,0.132345,0.0005713422791987326,0.0553895,0.00016617009357883803,0.056749999999999995,0.0007325626253092647
2,52,1000,4,0.1474825,0.0021771817792733787,0.0552125,0.00011101576464628614,0.0717995,0.0023355736982591667
2,62,1000,4,0.169852,6.081118318204503e-05,0.055607000000000004,6.646803743153816e-05,0.092971,4.384062043357054e-05
2,74,1000,4,0.2101575,0.0011674332957389995,0.056129,0.00019798989873223504,0.13064900000000002,0.001104500792213373
2,88,1000,4,0.26369699999999996,8.061017305526854e-05,0.0562265,0.00049568185361177,0.18326949999999997,0.000669630121783663
2,100,1000,4,0.335958,0.0031664241661533863,0.0573305,0.0005041671349860122,0.252359,0.0028142849891224474
2,120,1000,4,0.528492,0.00045254833995937195,0.060125,0.0022881975439196646,0.4339195,0.002819234736590778
2,140,1000,4,0.7826545,0.0017062486630031381,0.0622805,0.0002934493141924163,0.6753905,0.0018985817074859144
2,160,1000,4,1.1300875000000001,0.0008167083322704745,0.0658445,0.0011745043635508524,1.008606,0.00045254833995937195
2,190,1000,4,1.7755385000000001,0.0010203550852520898,0.07549,0.0010012632021601517,1.620184,0.0021184919164348955
2,220,1000,4,2.69527,0.019673124866172134,0.087343,0.001262892711199171,2.4905325,0.016498922525425747
2,260,1000,4,4.398358,0.0005529575028872948,0.10674700000000001,0.0004355777772109073,4.1047605,0.00010394469683450681
2,310,1000,4,7.2483735,0.001026011939501902,0.1383905,0.000699328606593508,6.809083,0.00023193102422894852
2,370,1000,4,12.187771999999999,0.000940452018978931,0.188252,0.0024975011511508714,11.5107585,0.0005381082604834419
2,400,1000,4,15.914045000000002,0.004835196169753698,0.211995,0.0008584276323604832,15.0825775,0.0033665353852293206
