nruns,size,iterations,NPs,time-mean,time-error,compute_time-mean,compute_time-error,update_time-mean,update_time-error
2,10,1000,1,0.118083,0.00020788939366884682,0.0472375,0.0001435426765808704,0.07049849999999999,0.00034718942956259857
2,12,1000,1,0.117784,0.0003549676041556486,0.0469855,0.00023122391744800168,0.0704515,0.00011950104602052828
2,14,1000,1,0.1176655,0.0011985459941111897,0.046922,0.0004101219330881956,0.070406,0.0007877169542418167
2,16,1000,1,0.11702,0.0003959797974644701,0.0466825,9.687362902255577e-05,0.069992,0.0003012274887854761
2,19,1000,1,0.1185995,0.0005861915216036454,0.0472665,0.00032173358543988195,0.0709845,0.0002651650429449556
2,22,1000,1,0.1174825,0.0008039804102091039,0.046831,0.00041012193308820045,0.0703085,0.0003896158364337848
2,26,1000,1,0.117778,0.001064902812466936,0.0469,0.00039032294321497696,0.07053100000000001,0.0006774082963767129
2,31,1000,1,0.117985,0.00071700627612316,0.046942,0.00032526911934581333,0.0707045,0.00040092954493277106
2,37,1000,1,0.1181625,0.0001209152595829028,0.0472945,0.00016475588001646843,0.07052249999999999,4.7376154339496995e-05
2,44,1000,1,0.1252635,0.0004122432534317573,0.0501555,0.0003825447686219221,0.074769,2.8284271247460747e-05
2,52,1000,1,0.1328195,0.00018314065632732234,0.0531765,0.0002722361107568183,0.079306,9.050966799187047e-05
2,62,1000,1,0.1439945,0.00011242997820867536,0.0554775,1.6263455967287233e-05,0.08816399999999999,0.0001301076477383273
2,74,1000,1,0.1683025,0.0002991061684419143,0.065121,0.0003761808075912466,0.102823,8.626702730475676e-05
2,88,1000,1,0.1996235,0.00045466966030295337,0.07863049999999999,0.00011242997820866555,0.1206345,0.00034011836175072604
2,100,1000,1,0.2392095,0.0008817621561396234,0.09720200000000001,0.0006165971131946679,0.141648,0.00026870057685088203
2,120,1000,1,0.299765,0.00037759502115364073,0.125416,0.0002078893936688566,0.17398950000000002,0.0005805346673541474
2,140,1000,1,0.391314,0.0010946012972767713,0.1714695,0.0002453660530717222,0.2194855,0.0008478210306426744
2,160,1000,1,0.50129,0.0007424621202458717,0.22232849999999998,9.545941546020088e-05,0.278597,0.0006335676759431522
2,190,1000,1,0.7626850000000001,0.0019516147160748604,0.361606,0.000342239682094278,0.400717,0.0016023039661687097
2,220,1000,1,1.119859,0.001797465437776235,0.543765,0.0006095260453828248,0.5757335,0.0024091128035025233
2,260,1000,1,1.8257385,0.003305724202047099,0.913701,0.0005897270555095816,0.9116635,0.0027244824279117645
2,310,1000,1,2.985039,0.0030872282066605316,1.4970080000000001,0.0018455486988968898,1.487654,0.0012558216433873083
2,370,1000,1,5.0592375,0.0033142094834217382,2.5677535000000002,0.0012225876246712913,2.4911025,0.004534675787749174
2,400,1000,1,6.1613454999999995,0.01580030102561376,3.0101430000000002,0.0010634885989046889,3.150823,0.0147389337470523
2,10,1000,4,0.1180705,0.0018844395718621496,0.048118,0.00126572113832392,0.069694,0.0006165971131946679
2,12,1000,4,0.11656250000000001,9.192388155424497e-06,0.047533,0.00010040916292849203,0.06877549999999999,9.121677477306754e-05
2,14,1000,4,0.1192345,0.004113240146162149,0.048159499999999994,0.0011136931803688124,0.070819,0.0029910616844190945
2,16,1000,4,0.116446,2.545584412271173e-05,0.047336,2.6870057685091145e-05,0.06885649999999999,5.020458146424602e-05
2,19,1000,4,0.116954,3.535533905932348e-05,0.0476585,0.0001605132393293498,0.06904750000000001,0.00012657211383239103
2,22,1000,4,0.11973349999999999,0.004092026942726551,0.048477000000000006,0.0011822825381439075,0.0710045,0.002902673336770776
2,26,1000,4,0.118591,0.0012402652942012083,0.0489255,0.0006342747827243346,0.0694135,0.0006074047250392434
2,31,1000,4,0.118675,0.0003535533905932741,0.049224000000000004,7.35391052434009e-05,0.0691995,0.00028213560569343
2,37,1000,4,0.12057200000000001,0.0005784133470105953,0.0510675,0.0003372899346259819,0.0692505,0.0002354665581351203
2,44,1000,4,0.1250725,0.002800849960279919,0.054067,0.001088944443027283,0.0707505,0.0017119055172526263
2,52,1000,4,0.12812099999999998,0.0005147737367037914,0.057643,0.0005897270555095816,0.0702225,8.55599205235695e-05
2,62,1000,4,0.13891599999999998,0.00016970562748476448,0.0642045,0.00024253762594698305,0.07445650000000001,0.00041507168055649656
