n,iterations,nruns,time_benchmark-mean,time_benchmark-error,time_latency-mean,time_latency-error,message_rate-mean,message_rate-error
100000,1000,2,0.0498705,0.0005211376977344866,49.87065,0.5206922204623387,8.021187,0.0837483129501725
120000,1000,3,0.053328999999999994,0.004069296683703463,53.329123333333335,4.069369565438506,9.066975333333332,0.6513012534543187
140000,1000,2,0.049986,0.0003535533905932741,49.985758000000004,0.35328327580286417,11.2034705,0.07918252446405086
160000,1000,2,0.050187999999999997,0.0002800142853498732,50.1879875,0.27979578935448574,12.7522535,0.07109322288727651
190000,1000,2,0.049959,0.0005105310960166827,49.9586915,0.5103903817672306,15.213362,0.1554234847183665
220000,1000,2,0.051138,0.0007580184694319765,51.138009,0.7574075291730357,17.2102225,0.254901388016033
260000,1000,2,0.0499325,0.0002736503243191928,49.932297500000004,0.2737641685109642,20.8285155,0.11419703805484815
310000,1000,2,0.050269999999999995,0.0005529575028878788,50.2699955,0.5527517348145594,24.6682925,0.2712440399428173
370000,1000,2,0.0509525,9.545941546018616e-05,50.9523715,0.09536254183116337,29.046785,0.0543637835511825
440000,1000,2,0.051727,0.00045961940777125435,51.7266585,0.4595748600440421,34.026351500000004,0.3023128976945898
520000,1000,2,0.051455,0.00010606601717798027,51.454962,0.10588075520131073,40.4237865,0.0831819204184433
620000,1000,2,0.052233,0.00021920310216782816,52.2333295,0.21943856872596482,47.479682,0.19946775190491584
740000,1000,2,0.053723999999999994,0.0014778531726798855,53.723724000000004,1.4777301360999544,55.1175525,1.5160687586691102
880000,1000,2,0.0534795,0.00028213560569343,53.4797875,0.28183791373855155,65.82017350000001,0.34687193861783955
1000000,1000,2,0.0543305,0.0005494219689819473,54.3305835,0.5492444851798712,73.62712,0.7443189826532733
1200000,1000,3,0.05900366666666667,0.003819025551978758,59.003644333333334,3.8192132376967582,81.78559166666668,5.037097547772939
1400000,1000,2,0.0559705,0.00020293964620053602,55.970259999999996,0.20319137621463837,100.05379450000001,0.36323014689380834
1600000,1000,2,0.0674115,9.970205614730478e-05,67.4116025,0.10006763035317186,94.939251,0.14093062413117105
1900000,1000,2,0.0593015,0.0005480077554195729,59.301474999999996,0.547570763428798,128.164165,1.1834266369158806
2200000,1000,2,0.06072,0.0001866761902332488,60.719839,0.18656729578894646,144.9286045,0.445306859413264
2600000,1000,2,0.06328600000000001,0.00010182337649085672,63.2858505,0.10194004910975932,164.333945,0.26470683775073767
3100000,1000,2,0.06642999999999999,0.0007523616151824833,66.43033650000001,0.752465559879325,186.67368199999999,2.1144783783448924
3700000,1000,2,0.0692555,0.0004532554467405789,69.25570450000001,0.45292805630089394,213.705378,1.3976205946457823
4400000,1000,2,0.07308049999999999,0.000105358910396793,73.080224,0.1055498292277169,240.831478,0.34783289673348766
5200000,1000,2,0.07748,0.0001315218613007018,77.480158,0.1316335841721296,268.45621600000004,0.4560895307195857
6200000,1000,2,0.08293400000000001,6.646803743153324e-05,82.93384599999999,0.06626297646499245,299.0336165,0.23892360318835432
7400000,1000,2,0.0896585,0.0001435426765808753,89.658524,0.1431721526275204,330.141925,0.5271905317814507
8800000,1000,2,0.097428,8.626702730476657e-05,97.427841,0.08655976951216439,361.293174,0.3209911233196476
10000000,1000,2,0.10514699999999999,0.0022825406896701717,105.14731,2.2827598927723485,380.50834399999997,8.260878208801918
12000000,1000,2,0.1159245,0.0008605489527040254,115.9243765,0.8604831917733823,414.0744495,3.0735902381717373
14000000,1000,2,0.12671100000000002,0.00045537676708414063,126.71070399999999,0.45525373050421314,441.95446549999997,1.587879694939308
16000000,1000,2,0.1372605,0.00015061374439272825,137.2605175,0.15129327400946327,466.266921,0.5139351080613527
19000000,1000,2,0.153809,6.222539674439991e-05,153.808757,0.0621985266867142,494.12015099999996,0.19981706265480925
22000000,1000,2,0.170402,0.00018243354954611545,170.40188,0.18276447551971994,516.4265244999999,0.553893005159387
26000000,1000,2,0.19248300000000002,0.000210717820793586,192.483104,0.2110869305333644,540.3074885,0.5925293196833842
31000000,1000,2,0.220592,0.0008103443712397892,220.591996,0.8104320524806408,562.1275435,2.0651979854436173
37000000,1000,2,0.25335799999999997,0.0001470782104868312,253.3582005,0.1468300160066079,584.153284,0.3385372709879648
44000000,1000,2,0.29177949999999997,0.0002580939751330928,291.779309,0.25834711936076504,603.1958525,0.5340812873640399
52000000,1000,2,0.33569099999999996,4.2426406871235285e-06,335.690855,0.004427902663784815,619.6177135,0.008173447283759237
62000000,1000,2,0.3969665,0.007155213518826667,396.966429,7.154964617239703,624.8394625,11.262172435451507
74000000,1000,2,0.457295,0.00037052395334172895,457.2947015,0.3707127508522938,647.285211,0.524731214396463
88000000,1000,2,0.5350185000000001,0.0006116473657263669,535.0182555,0.6117032271620232,657.9219055,0.7522223151465979
100000000,1000,2,0.6049599999999999,0.006194255403194149,604.9602065,6.194022765063164,661.2351739999999,6.770206604392669
