n,N,time-mean,time-error,time_TplusdT-mean,time_TplusdT-error,nruns
20,10000,0.348192,0.00047234732983261513,0.3457215,0.0003966869042456377,2
40,10000,0.367066,0.002399920415347148,0.36455800000000005,0.0023928493475352756,2
60,10000,0.40129000000000004,0.0012275373721398575,0.3988085,0.0012084454890478212,2
80,10000,0.4687595,0.001451690221775962,0.46623749999999997,0.0014460333675265032,2
100,10000,0.5972265,0.002358201115257198,0.5947015,0.002342644766071039,2
120,10000,0.7616700000000001,0.005207134336657762,0.7591395000000001,0.005193699307815224,2
140,10000,0.9760215,0.0016510943340705714,0.9734725,0.0016369521984468264,2
160,10000,1.2581764999999998,0.0005112382027978945,1.2556034999999999,0.0005013387078611552,2
180,10000,1.72438,0.0021255629842468074,1.721812,0.0020944502858744893,2
200,10000,2.1891439999999998,0.001456639969244096,2.1865164999999998,0.0014700749980866342,2
220,10000,2.7474815,0.0007771103525239882,2.744865,0.000793373808491354,2
240,10000,3.4037284999999997,0.00019021172413907712,3.401077,0.00016546298679754283,2
260,10000,4.412743,0.0016913994205985002,4.4100625,0.0016496801205076867,2
280,10000,5.3366240000000005,0.001704127342659753,5.333922,0.0017338258274693429,2
300,10000,6.391923,0.0014693678913056628,6.389234999999999,0.0014410836200580157,2
320,10000,7.583845,0.00029698484809841146,7.5811405,0.0002962777413171261,2
340,10000,9.331073,0.001122885568524183,9.3283305,0.0011292495295551232,2
360,10000,10.877596,0.0016631151493508528,10.874808999999999,0.0016532156544141136,2
380,10000,12.587246,0.00047517575695720714,12.5844995,0.0004009295449329183,2
400,10000,14.4729365,0.001231072906046402,14.470176,0.0012091525958284391,2
420,10000,17.16873,0.0014325983386844752,17.165891,0.0014806815998043448,2
